	phylum	class	order	family	genus	species	taxon
6894	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aureitalea	Aureitalea sp. RR4-38	Aureitalea sp. RR4-38
6902	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
7171							Bacteria <prokaryotes>
7180	Bacteroidetes <phylum>	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Draconibacterium	Draconibacterium orientale	Draconibacterium orientale
7181	Bacteroidetes <phylum>	Bacteroidia	Marinilabiliales	Marinifilaceae		Marinifilaceae bacterium SPP2	Marinifilaceae bacterium SPP2
7399	Bacteroidetes <phylum>						Bacteroidetes <phylum>
7407	Bacteroidetes <phylum>	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter		Flavisolibacter
7421	Bacteroidetes <phylum>	Chitinophagia	Chitinophagales	Chitinophagaceae			Chitinophagaceae
7422	Bacteroidetes <phylum>	Saprospiria	Saprospirales	Saprospiraceae	Saprospira	Saprospira grandis	Saprospira grandis str. Lewin
7423	Bacteroidetes <phylum>	Saprospiria	Saprospirales	Haliscomenobacteraceae	Haliscomenobacter	Haliscomenobacter hydrossis	Haliscomenobacter hydrossis DSM 1100
7424	Bacteroidetes <phylum>	Saprospiria	Saprospirales				Saprospirales
7465	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cytophagaceae	Pseudarcicella	Pseudarcicella sp. HME7025	Pseudarcicella sp. HME7025
7511	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Amoebophilaceae			Amoebophilaceae
7515	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Flammeovirgaceae			Flammeovirgaceae
7517	Bacteroidetes <phylum>	Cytophagia	Cytophagales				Cytophagales
7518	Bacteroidetes <phylum>	Cytophagia	Cytophagales				Cytophagales
7523	Bacteroidetes <phylum>	Cytophagia	Cytophagales				Cytophagales
7526							Bacteria <prokaryotes>
7528							Bacteria <prokaryotes>
7530	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	Ignavibacterium album	Ignavibacterium album JCM 16511
7545	Chrysiogenetes <phylum>	Chrysiogenetes <class>	Chrysiogenales	Chrysiogenaceae	Desulfurispirillum	Desulfurispirillum indicum	Desulfurispirillum indicum S5
7548							Bacteria <prokaryotes>
7549	Nitrospirae	Nitrospira <class>	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii	Thermodesulfovibrio yellowstonii DSM 11347
7564	Planctomycetes <phylum>	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Kuenenia	Candidatus Kuenenia stuttgartiensis	Candidatus Kuenenia stuttgartiensis
7567	Planctomycetes <phylum>	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera		Sedimentisphaera
7568	Planctomycetes <phylum>	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	Phycisphaera mikurensis	Phycisphaera mikurensis NBRC 102666
7583	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae	Fuerstia <Bacteria>	Fuerstia marisgermanicae	Fuerstia marisgermanicae
7585	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae			Planctomycetaceae
7587	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae	Thermogutta	Thermogutta terrifontis	Thermogutta terrifontis
7588	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula baltica	Rhodopirellula baltica SH 1
7589	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula	Pirellula staleyi	Pirellula staleyi DSM 6068
7590	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae			Planctomycetaceae
7591	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Planctomycetaceae			Planctomycetaceae
7595	Planctomycetes <phylum>						Planctomycetes <phylum>
7597					Vampirococcus	Vampirococcus sp. LiM	Vampirococcus sp. LiM
7598	Lentisphaerae	Lentisphaeria	Victivallales			Victivallales bacterium CCUG 44730	Victivallales bacterium CCUG 44730
7600	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales	Simkaniaceae	Simkania	Simkania negevensis	Simkania negevensis Z
7701	Verrucomicrobia					Verrucomicrobia bacterium S94	Verrucomicrobia bacterium S94
7703							PVC group
7704	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita akajimensis	Coraliomargarita akajimensis DSM 45221
7715	Verrucomicrobia	Spartobacteria			Candidatus Xiphinematobacter	Candidatus Xiphinematobacter sp. Idaho Grape	Candidatus Xiphinematobacter sp. Idaho Grape
7718	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum		Methylacidiphilum
7719	Verrucomicrobia						Verrucomicrobia
7728	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia		Akkermansia
7731							PVC group
7733							Bacteria <prokaryotes>
7735	Acidobacteria <phylum>	Vicinamibacteria		Vicinamibacteraceae	Luteitalea	Luteitalea pratensis	Luteitalea pratensis
7736	Acidobacteria <phylum>	Blastocatellia			Chloracidobacterium	Chloracidobacterium thermophilum	Chloracidobacterium thermophilum B
7759	Elusimicrobia <phylum>						Elusimicrobia <phylum>
7764							Bacteria <prokaryotes>
7765		Candidatus Babeliae	Candidatus Babeliales	Candidatus Babeliaceae	Candidatus Babela	Candidatus Babela massiliensis	Candidatus Babela massiliensis
7766						Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)	Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)
7767							Candidatus Dependentiae
7768							Bacteria <prokaryotes>
7769	Proteobacteria	Oligoflexia	Silvanigrellales			Silvanigrellales bacterium RF1110005	Silvanigrellales bacterium RF1110005
7780	Candidatus Gracilibacteria					Candidatus Gracilibacteria bacterium HOT-871	Candidatus Gracilibacteria bacterium HOT-871
7823	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter nitrofigilis	Arcobacter nitrofigilis DSM 7299
8219	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae			Desulfurellaceae
8264							Bacteria <prokaryotes>
8267	Proteobacteria	Oligoflexia	Bacteriovoracales	Halobacteriovoraceae	Halobacteriovorax	Halobacteriovorax sp. BALOs_7	Halobacteriovorax sp. BALOs_7
8268	Proteobacteria	Oligoflexia	Bacteriovoracales	Halobacteriovoraceae	Halobacteriovorax		Halobacteriovorax
8276	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter carbinolicus	Pelobacter carbinolicus DSM 2380
8287	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter		Geobacter
8308	Proteobacteria	Oligoflexia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus
8312	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus oralis	Desulfobulbus oralis
8314	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	Desulfocapsa sulfexigens	Desulfocapsa sulfexigens DSM 10523
8319	Proteobacteria	Deltaproteobacteria					Deltaproteobacteria
8320	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfobacca	Desulfobacca acetoxidans	Desulfobacca acetoxidans DSM 11109
8323	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans	Desulfococcus oleovorans Hxd3
8324	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus multivorans	Desulfococcus multivorans
8330	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae			Desulfobacteraceae
8333	Proteobacteria	Deltaproteobacteria					Deltaproteobacteria
8334	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfomonile	Desulfomonile tiedjei	Desulfomonile tiedjei DSM 6799
8335	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Syntrophus <bacteria>	Syntrophus aciditrophicus	Syntrophus aciditrophicus SB
8337	Proteobacteria	Deltaproteobacteria					Deltaproteobacteria
8339	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Haliangium	Haliangium ochraceum	Haliangium ochraceum DSM 14365
8351	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus	Sandaracinus amylolyticus	Sandaracinus amylolyticus
8361	Proteobacteria	Deltaproteobacteria	Myxococcales	Vulgatibacteraceae	Vulgatibacter	Vulgatibacter incomptus	Vulgatibacter incomptus
8384	Proteobacteria	Deltaproteobacteria	Myxococcales				Cystobacterineae
8388	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	Bradymonas sediminis	Bradymonas sediminis
8389	Proteobacteria						Proteobacteria
8395	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus		Mariprofundus
8400	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfuricaulis	Sulfuricaulis limicola	Sulfuricaulis limicola
8578	Proteobacteria	Gammaproteobacteria	Xanthomonadales				Xanthomonadales
8579	Proteobacteria	Hydrogenophilalia	Hydrogenophilales	Hydrogenophilaceae	Hydrogenophilus	Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus
8584	Proteobacteria	Betaproteobacteria					Betaproteobacteria
8620	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Candidatus Methylopumilus	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus planktonicus
8625	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae			Methylophilaceae
8972	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia		Delftia
9043	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga pseudoflava	Hydrogenophaga pseudoflava
9065	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia mirabilis	Lautropia mirabilis
9240	Proteobacteria	Betaproteobacteria			Candidatus Nasuia	Candidatus Nasuia deltocephalinicola	Candidatus Nasuia deltocephalinicola
9416	Proteobacteria	Betaproteobacteria					Betaproteobacteria
9532	Proteobacteria	Betaproteobacteria					Betaproteobacteria
9536	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Nitrosoglobus	Candidatus Nitrosoglobus terrae	Candidatus Nitrosoglobus terrae
9547	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae			Thiotrichaceae
9552	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
9553	Proteobacteria	Gammaproteobacteria			Sedimenticola	Sedimenticola thiotaurini	Sedimenticola thiotaurini
9554	Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Granulosicoccus	Granulosicoccus antarcticus	Granulosicoccus antarcticus IMCC3135
9555	Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Sulfuriflexus	Sulfuriflexus mobilis	Sulfuriflexus mobilis
9556	Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae			Granulosicoccaceae
9558	Proteobacteria	Gammaproteobacteria			Thiolapillus	Thiolapillus brandeum	Thiolapillus brandeum
9560	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae		Chromatiaceae bacterium 2141T.STBD.0c.01a	Chromatiaceae bacterium 2141T.STBD.0c.01a
9634	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae			Legionellaceae
9635	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Sulfurivermis	Sulfurivermis fontis	Sulfurivermis fontis
9650	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae			Coxiellaceae
9651	Proteobacteria	Gammaproteobacteria	Chromatiales	Woeseiaceae	Woeseia	Woeseia oceani	Woeseia oceani
9652	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
9653	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	Salinisphaera sp. LB1	Salinisphaera sp. LB1
9654	Proteobacteria	Gammaproteobacteria	Chromatiales	Wenzhouxiangellaceae	Wenzhouxiangella	Wenzhouxiangella marina	Wenzhouxiangella marina
9660	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. K90mix	Thioalkalivibrio sp. K90mix
9682	Proteobacteria	Gammaproteobacteria	Chromatiales		Thiohalobacter	Thiohalobacter thiocyanaticus	Thiohalobacter thiocyanaticus
9683	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
9752	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia	Francisella philomiragia
9764	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae			Francisellaceae
9766	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae			Francisellaceae
9774	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Kangiella		Kangiella
9789	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae			Piscirickettsiaceae
9793	Proteobacteria	Gammaproteobacteria				Calyptogena okutanii thioautotrophic gill symbiont	Candidatus Vesicomyosocius okutanii HA
9998	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae			Moraxellaceae
9999	Proteobacteria	Gammaproteobacteria			Pseudohongiella	Pseudohongiella spirulinae	Pseudohongiella spirulinae
10004	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
10006	Proteobacteria	Gammaproteobacteria				Gammaproteobacteria bacterium soil36-7	Gammaproteobacteria bacterium soil36-7
10033	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
10090	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas balearica	Pseudomonas balearica DSM 6083
10527	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium aestuarii	Marinobacterium aestuarii
10529	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Bacterioplanes	Bacterioplanes sanyensis	Bacterioplanes sanyensis
10537	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas sp. FW-1	Marinomonas sp. FW-1
10601	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Candidatus Carsonella ruddii	Candidatus Carsonella ruddii
10692	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Parashewanella		Parashewanella
12506	Proteobacteria	Gammaproteobacteria			Candidatus Nardonella	endosymbiont of Sipalinus gigas	endosymbiont of Sipalinus gigas
12509	Proteobacteria	Gammaproteobacteria					unclassified Gammaproteobacteria
13023	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae	Photobacterium damselae subsp. damselae
13045	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio natriegens	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759
13085	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	Vibrio parahaemolyticus
13285	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	Alteromonas mediterranea
13402	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp. SM9913	Pseudoalteromonas sp. SM9913
13438	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	Halioglobus japonicus	Halioglobus japonicus
13439	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	Halioglobus pacificus	Halioglobus pacificus
13440	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus		Halioglobus
13464	Proteobacteria	Gammaproteobacteria	Immundisolibacterales	Immundisolibacteraceae	Immundisolibacter	Immundisolibacter cernigliae	Immundisolibacter cernigliae
13482							Bacteria <prokaryotes>
13484							Bacteria <prokaryotes>
13506	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium nitrativorans	Hyphomicrobium nitrativorans NL23
13507	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	Candidatus Filomicrobium marinum	Candidatus Filomicrobium marinum
368	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas		Hyphomonas
499	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria sp. AD91A	Ruegeria sp. AD91A
890	Proteobacteria	Alphaproteobacteria	Holosporales	Caedimonadaceae	Candidatus Nucleicultrix	Candidatus Nucleicultrix amoebiphila	Candidatus Nucleicultrix amoebiphila FS5
893	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae		endosymbiont of Acanthamoeba sp. UWC8	endosymbiont of Acanthamoeba sp. UWC8
904	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi	Orientia tsutsugamushi
907	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi	Orientia tsutsugamushi
1033	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
1373	Cyanobacteria						Cyanobacteria
1384	Cyanobacteria		Chroococcales	Chroococcaceae	Chondrocystis	Chondrocystis sp. NIES-4102	Chondrocystis sp. NIES-4102
1404	Cyanobacteria		Synechococcales				Synechococcales
1435	Cyanobacteria		Oscillatoriales				Oscillatoriales
1438	Cyanobacteria		Oscillatoriales				Oscillatoriales
1453	Cyanobacteria		Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris marina	Acaryochloris marina MBIC11017
1522	Cyanobacteria						Cyanobacteria
3892	Fusobacteria <phylum>	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter polytropus	Ilyobacter polytropus DSM 2926
4062	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma columbinasale	Mycoplasma columbinasale
6795	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
7569	Planctomycetes <phylum>	Phycisphaerae					Phycisphaerae
7699	Chlamydiae <phylum>	Chlamydiia					Chlamydiia
7798	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae		Arcobacter sp. LPB0137	Arcobacter sp. LPB0137
7824	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae			Arcobacter group
8263	Proteobacteria	Deltaproteobacteria	Desulfovibrionales				Desulfovibrionales
8285	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens	Geobacter sulfurreducens
8398	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae			Sinobacteraceae
9648	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella <Bacteria>		Coxiella <Bacteria>
10512	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. S-6-2	Pseudomonas sp. S-6-2
10531	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus	Thalassolituus oleivorans	Thalassolituus oleivorans MIL-1
10615	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae			Halomonadaceae
13052	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio tritonius	Vibrio tritonius
13138	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		Vibrio harveyi group
13269	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	Alteromonas macleodii
13382	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas spongiae	Pseudoalteromonas spongiae UST010723-006
230	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter seohaensis	Erythrobacter seohaensis
305	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas panacis	Sphingomonas panacis
441	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola	Oceanicola sp. D3	Oceanicola sp. D3
541	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseibacterium	Roseibacterium elongatum	Roseibacterium elongatum DSM 19469
1309	Spirochaetes <phylum>	Spirochaetia					Spirochaetia
1519	Cyanobacteria		Synechococcales				Synechococcales
2047	Firmicutes	Clostridia	Clostridiales				Clostridiales
6779	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
7429	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Bernardetiaceae	Bernardetia	Bernardetia litoralis	Bernardetia litoralis DSM 6794
7556	Nitrospirae	Nitrospira <class>	Nitrospirales	Nitrospiraceae	Nitrospira <genus>		Nitrospira <genus>
7578	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata	Gemmata sp. SH-PL17	Gemmata sp. SH-PL17
7596	Planctomycetes <phylum>						Planctomycetes <phylum>
7737	Acidobacteria <phylum>	Acidobacteriia	Bryobacterales	Solibacteraceae	Candidatus Solibacter	Candidatus Solibacter usitatus	Candidatus Solibacter usitatus Ellin6076
7760	Elusimicrobia <phylum>						Elusimicrobia <phylum>
7761							Bacteria <prokaryotes>
8393	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus ferrinatatus	Mariprofundus ferrinatatus
8396	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Steroidobacter	Steroidobacter denitrificans	Steroidobacter denitrificans
9705	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga		Methylophaga
9861	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	Acinetobacter haemolyticus
10002	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Hahella		Hahella
11829	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli
13140	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		Vibrio harveyi group
13483	Proteobacteria	Alphaproteobacteria	Magnetococcales	Magnetococcaceae	Magnetococcus	Magnetococcus marinus	Magnetococcus marinus MC-1
155	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Anderseniella	Anderseniella sp. Alg231-50	Anderseniella sp. Alg231-50
257	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter dongtanensis	Altererythrobacter dongtanensis
366	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas sp. Mor2	Hyphomonas sp. Mor2
433	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
546	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
554	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor basaltis	Nitratireductor basaltis
555	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Roseitalea	Roseitalea porphyridii	Roseitalea porphyridii
595	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	Aminobacter sp. MSH1	Aminobacter sp. MSH1
625	Proteobacteria	Alphaproteobacteria				Alphaproteobacteria bacterium WS11	Alphaproteobacteria bacterium WS11
844	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			Rhodospirillaceae
962	Proteobacteria	Alphaproteobacteria	Rickettsiales				Rickettsiales
996	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia		Ehrlichia
1013	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia		Wolbachia
1031	Proteobacteria	Alphaproteobacteria	Pelagibacterales				Pelagibacterales
1279	Spirochaetes <phylum>	Spirochaetia	Leptospirales	Leptospiraceae	Turneriella	Turneriella parva	Turneriella parva DSM 21527
1351	Cyanobacteria		Nostocales	Aphanizomenonaceae	Nodularia <Cyanobacteria>	Nodularia spumigena	Nodularia spumigena UHCC 0039
1363	Cyanobacteria		Nostocales	Rivulariaceae	Calothrix		Calothrix
1372	Cyanobacteria		Nostocales				Nostocales
1388	Cyanobacteria						Cyanobacteria
1390	Cyanobacteria		Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6714	Synechocystis sp. PCC 6714
1391	Cyanobacteria		Synechococcales	Merismopediaceae	Synechocystis		Synechocystis
1405	Cyanobacteria		Synechococcales				Synechococcales
1408	Cyanobacteria						Cyanobacteria
1446	Cyanobacteria		Synechococcales				Synechococcales
1457	Cyanobacteria						Cyanobacteria
1459	Cyanobacteria		Synechococcales	Prochlorotrichaceae	Halomicronema	Halomicronema hongdechloris	Halomicronema hongdechloris C2206
1508	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 8101	Synechococcus sp. WH 8101
1512	Cyanobacteria		Synechococcales	Synechococcaceae			Synechococcaceae
1513	Cyanobacteria		Synechococcales	Synechococcaceae	Cyanobium	Cyanobium gracile	Cyanobium gracile PCC 6307
1939	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			Clostridiaceae
3878	Tenericutes				Candidatus Izimaplasma	Candidatus Izimaplasma sp. HR1	Candidatus Izimaplasma sp. HR1
4143	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma		Mycoplasma
4977							Terrabacteria group
5001	Chloroflexi <phylum>	Anaerolineae	Anaerolineales	Anaerolineaceae			Anaerolineaceae
5008	Chloroflexi <phylum>	Ktedonobacteria	Ktedonobacterales			Ktedonobacterales bacterium SCAWS-G2	Ktedonobacterales bacterium SCAWS-G2
6759	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum		Tenacibaculum
6864	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella sp. J14-2	Winogradskyella sp. J14-2
7172							Bacteria <prokaryotes>
7398	Bacteroidetes <phylum>	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			Sphingobacteriaceae
7400							Bacteria <prokaryotes>
7434	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium		Cyclobacterium
7503	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Hymenobacteraceae			Hymenobacteraceae
