	phylum	class	order	family	genus	species	taxon
1834	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		Clostridium
13061	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio tubiashii	Vibrio tubiashii ATCC 19109
13114	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi	Vibrio harveyi
13197	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	Vibrio vulnificus
13248	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio breoganii	Vibrio breoganii
8409	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Dichelobacter	Dichelobacter nodosus	Dichelobacter nodosus VCS1703A
231	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter flavus	Erythrobacter flavus
402	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum sp. P5	Rhodovulum sp. P5
1259	Spirochaetes <phylum>	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema		Treponema
1455	Cyanobacteria						Cyanobacteria
6694	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		Flavobacteriaceae bacterium UJ101	Flavobacteriaceae bacterium UJ101
9628	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae			Legionellaceae
9697	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium		Methylomicrobium
13062	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio nigripulchritudo	Vibrio nigripulchritudo
7752	Acidobacteria <phylum>						Acidobacteria <phylum>
9062	Proteobacteria	Betaproteobacteria					Betaproteobacteria
424	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	Rhodobacter sphaeroides ATCC 17029
1021	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae			Anaplasmataceae
3891	Fusobacteria <phylum>	Fusobacteriia	Fusobacteriales	Leptotrichiaceae			Leptotrichiaceae
6634	Gemmatimonadetes <phylum>	Gemmatimonadetes <class>	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas		Gemmatimonas
7276	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides <genus>	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron VPI-5482
8984	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans sp. 63ED37-2	Limnohabitans sp. 63ED37-2
9089	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea thiooxydans	Pandoraea thiooxydans
10222	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas synxantha	Pseudomonas synxantha
1979	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	Clostridioides difficile
1506	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus		Prochlorococcus
1823	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	Clostridium acetobutylicum
9582	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella clemsonensis	Legionella clemsonensis
1889	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	Clostridium perfringens
4974	Chloroflexi <phylum>	Thermomicrobia <class>	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	Sphaerobacter thermophilus	Sphaerobacter thermophilus DSM 20745
9890	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	Acinetobacter pittii
20	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus		Chelatococcus
10218	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mucidolens	Pseudomonas mucidolens
969	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Neorickettsia	Neorickettsia helminthoeca	Neorickettsia helminthoeca str. Oregon
7333	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		Prevotella
1980	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	Clostridioides difficile CD196
10392	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fragi	Pseudomonas fragi
556	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae			Phyllobacteriaceae
7350	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Butyricimonas faecalis <H184>	Butyricimonas faecalis <H184>
9561	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
10603	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae			Zymobacter group
13024	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae	Photobacterium damselae
13436	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae			Spongiibacteraceae
2046	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		Lachnospiraceae bacterium oral taxon 500	Lachnospiraceae bacterium oral taxon 500
8205	Proteobacteria	Epsilonproteobacteria	Campylobacterales				Campylobacterales
8952	Proteobacteria	Betaproteobacteria	Burkholderiales		Aquabacterium	Aquabacterium olei	Aquabacterium olei
7512	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Flammeovirgaceae		Flammeovirgaceae bacterium 311	Flammeovirgaceae bacterium 311
6748	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		Flavobacterium
