Sample,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
171119_5,1.526770611,0.941488845,1.650090595,1.382674413,2720.016525,1823.744494,3095726.078,2295204.294,44.23995736,14.90451374,0.467382443,0.105440933,0.489395921,0.120400628
171121_7,1.717781866,0.957967319,1.928729135,1.522688683,3003.932882,1728.577331,3419873.667,2200947.139,47.62759526,14.92184508,0.448499428,0.109912175,0.503873995,0.136377467
171118_10,1.774322371,0.934520078,1.949634444,1.671331234,2992.498804,1750.427553,3396600.957,2182912.424,46.37270304,13.88973722,0.427516998,0.109034464,0.500764829,0.147247815
171117_19,1.878686596,0.939599608,2.081647959,1.926464945,3176.381653,1706.713436,3601557.749,2136462.684,49.2908245,13.1163569,0.430974998,0.10469049,0.501197524,0.142146559
171120_6,1.469829702,1.002949285,1.556556816,1.317852049,2740.809227,1771.776674,3094992.907,2175024.185,44.84194255,14.01455507,0.46542655,0.082049139,0.496653197,0.100395068
171120_10,1.593143472,0.945058191,1.654634387,1.423112346,2841.836752,1698.407811,3208676.273,2123938.379,46.95147894,14.23782115,0.442146003,0.101591956,0.501969787,0.132113731
171116_16,1.81781062,0.948487653,2.135801414,1.930633291,3234.709688,1834.902086,3706468.841,2288075.362,48.10470729,13.50705952,0.429170929,0.110523136,0.503869635,0.147583168
171117_11,2.034351242,1.257949229,2.193114997,2.315531334,3340.099246,2363.719821,3896498.748,3000577.806,46.70221971,13.11516715,0.426360199,0.123677824,0.470100957,0.155583913
171125_4,1.56985905,0.968682608,1.479595374,1.25716489,2771.195355,1680.504121,3238989.753,2176415.041,50.48903169,11.76853641,0.399300731,0.124574908,0.463395701,0.171107371
171117_22,1.877841381,0.969270152,2.030257809,1.851334437,3173.330936,1667.428685,3588802.658,2082212.377,48.90076052,12.91519246,0.427266272,0.102286289,0.500528086,0.143803494
171116_3,1.775512306,0.909139665,2.050053089,1.810649203,3173.614001,1732.109305,3666078.024,2203818.237,50.15713519,12.27232404,0.422554123,0.122809695,0.48546005,0.158615545
171119_9,1.496735148,0.937153494,1.606708433,1.32144136,2628.870274,1697.299275,2939354.281,2052007.197,44.41279403,14.44679387,0.456609991,0.099383824,0.496155974,0.121186434
171120_13,1.691701735,1.052848544,1.74349056,1.450261536,2818.245786,1632.804346,3163595.801,2021971.895,47.1212037,14.86392697,0.442585805,0.109428264,0.501027991,0.138671621
171125_16,1.71118791,0.950344844,1.296481568,1.117504546,2462.537732,1026.74167,2541947.465,1232063.88,50.16920022,14.21743927,0.457343295,0.065562152,0.483294996,0.090459981
171125_8,1.456928611,0.941579296,1.612367841,1.215719946,2829.543768,1529.749087,3117453.341,1818330.285,48.76943426,14.21721226,0.450035216,0.08268788,0.5204554,0.120344294
