sample,lat,lon,temp,cond,salinity,turb,chl,pH,P,Nitrate+Nitrite,Ammonia,N,N:P,N*,15N,13C,%N,%C,Level,Level_2,Region,Envi
171118_8,1.252667,78.97036,27.6,36820,22.02159537,5.5,6.31,7.69,0.21,1.14,0.13,1.27,6.047619048,-2.09,9.616,-21.472,0.259098192,1.844851577,low,low,Cayapas Mataje,Plume
171118_9,1.253167,78.96889,27.6,33410,19.78018153,5.8,14.34,7.87,0.26,1.12,0.41,1.53,5.884615385,-2.63,10.011,-18.548,0.460746166,2.680890538,low,low,Cayapas Mataje,Plume
171118_10,1.246833,78.96383,27.6,35203,20.95502587,5.7,5.58,7.84,0.26,1.36,0.3,1.66,6.384615385,-2.5,10.185,-18.448,0.700389105,4.241651206,low,low,Cayapas Mataje,Plume
171118_11,1.239389,78.958,27.5,30876,18.17246468,6.9,7.53,7.78,0.3,2.31,0.51,2.82,9.4,-1.98,6.055,-22.187,0.356374456,2.69364564,low,low,Cayapas Mataje,Plume
171118_12,1.244528,78.91778,27.6,37211,22.28048914,1.4,5.47,7.61,0.2,1.03,0.24,1.27,6.35,-1.93,9.229,-20.941,0.41451133,3.160946197,low,low,Cayapas Mataje,Machetejero 
171118_13,1.246,78.91925,27.6,37359,22.37858478,2,8.22,7.67,0.24,1.21,0.16,1.37,5.708333333,-2.47,10.64,-24.252,0.363698787,2.363172542,low,low,Cayapas Mataje,Machetejero 
171118_14,1.247306,78.92011,27.6,37659,22.57759543,2.8,7.54,7.75,0.19,1.19,0.8,1.99,10.47368421,-1.05,5.996,-23.574,0.239871824,1.945732839,low,low,Cayapas Mataje,Machetejero 
171118_15,1.248139,78.92061,27.6,37453,22.44091724,4.6,6.49,7.72,0.28,0.91,0.67,1.58,5.642857143,-2.9,8.867,-23.086,0.362783246,2.37244898,low,low,Cayapas Mataje,Machetejero 
171118_16,1.248611,78.92083,27.5,37859,22.75853784,3,8.55,7.77,0.2,1.05,0.74,1.79,8.95,-1.41,8.218,-25.058,0.230716411,1.698747681,low,low,Cayapas Mataje,Machetejero 
171118_17,1.249083,78.92106,27.5,37992,22.84709415,3.4,10.15,7.72,0.28,1.04,1.18,2.22,7.928571429,-2.26,7.772,-18.943,0.50904097,3.805658627,low,low,Cayapas Mataje,Machetejero 
171119_1,1.214639,78.88194,27.2,35330,21.21772392,2,7.7,6.99,1.08,1.79,0.99,2.78,2.574074074,-14.5,8.843,-23.866,0.207827878,1.57351577,intermediate,intermediate,Cayapas Mataje,Shrimp_outflow
171119_2,1.214639,78.88139,27.2,35463,21.30599777,1.7,6.7,7.07,0.23,0.99,1.29,2.28,9.913043478,-1.4,3.994,-21.428,1.127718013,2.22054731,intermediate,intermediate,Cayapas Mataje,Shrimp_outflow
